actions,agent_count,agent_id,amount,coalition_count,coalition_id,distributions,event_type,main_pool,new_coalition_pool,new_main_pool,new_personal_score,reasoning,timestamp,total_agent_scores,total_distributed,turn
"[{'type': 'HARVEST', 'amount': 5}, {'type': 'CONTRIBUTE', 'amount': 3}]",,agent_002,,,,,agent_decision,,,,,"The main resource pool is limited at 10 units, so harvesting the full amount again could deplete resources too quickly. Last turn, I harvested 10 and contributed 5 to the coalition pool, which was fully shared among 4 members. Maintaining cooperation in coalition_alpha by contributing will help maximize shared gains. However, to ensure sustainability, I will reduce my harvest to 5 this turn and contribute 3, balancing personal gain and coalition support while keeping resources available for future turns.",2025-07-03T16:47:19.975641,,,2
"[{'type': 'HARVEST', 'amount': 5}, {'type': 'CONTRIBUTE', 'amount': 5}]",,agent_003,,,,,agent_decision,,,,,"The main resource pool is low at 10, so harvesting too much risks depleting it quickly. Last turn I harvested 20 (likely from a private or different source) and contributed 10 to the coalition. Contributing to the coalition pool helps increase shared resources and future distributions. Since the coalition shared pool is currently 0, it makes sense to keep contributing a moderate amount to build it up while harvesting enough to increase my personal score. I will harvest 5 resources to maintain sustainability and contribute 5 to the coalition pool to support future equal distribution among members.",2025-07-03T16:47:22.688672,,,2
"[{'type': 'HARVEST', 'amount': 5}, {'type': 'CONTRIBUTE', 'amount': 3}]",,agent_004,,,,,agent_decision,,,,,"The main resource pool is limited at 10 units, so harvesting the maximum each turn is not sustainable. To balance resource use and maintain coalition benefits, I will harvest a moderate amount (5 units) and contribute a significant portion (3 units) to the coalition pool. This will help grow the shared pool for equal distribution among members and improve long-term gains. Remaining in coalition_alpha is beneficial since it has fewer members than coalition_beta, meaning a larger share of the shared pool. Avoiding leaving the coalition maintains my current benefits.",2025-07-03T16:47:25.557991,,,2
"[{'type': 'HARVEST', 'amount': 6}, {'type': 'CONTRIBUTE', 'amount': 3}]",,agent_005,,,,,agent_decision,,,,,"The main resource pool is limited (10 units). To maintain sustainability and maximize long-term gain, I should harvest a moderate amount this turn, avoiding overharvesting that would deplete resources quickly. Since our coalition pool is currently zero, contributing some resources will help build it for future equal distribution among members, improving my personal score through coalition benefits. I will harvest 6 units this turn and contribute 3 to the coalition pool, keeping some resources for myself to ensure personal score growth. Remaining out of other coalitions is beneficial since switching now forfeits current benefits and our coalition has members to share contributions.",2025-07-03T16:47:28.427618,,,2
"[{'type': 'HARVEST', 'amount': 5}, {'type': 'CONTRIBUTE', 'amount': 3}]",,agent_006,,,,,agent_decision,,,,,"The main resource pool is quite low at 10 units, so harvesting too much risks depleting resources prematurely. Our coalition has 4 members and currently no shared pool resources. Given the equal split distribution, contributing to the coalition pool can help us accumulate shared resources for future turns. I will harvest a moderate amount (5 units) to preserve sustainability, and contribute 3 units to the coalition pool to build it up for equitable distribution. This balances personal gain with coalition growth and sustainability of the resource.",2025-07-03T16:47:30.809185,,,2
"[{'type': 'HARVEST', 'amount': 6}, {'type': 'CONTRIBUTE', 'amount': 3}]",,agent_007,,,,,agent_decision,,,,,"The main resource pool is limited to 10, and sustainable harvesting is crucial. Last turn, I harvested the maximum available 10 units and contributed half (5) to the coalition pool, which currently stands at 0. With 4 members in coalition_beta, the shared pool will be split equally, so my contribution benefits all members equally. To maintain sustainability and personal score growth, I should harvest a moderate amount this turn, avoiding overexploitation of the main pool, and continue contributing a fair share to support coalition benefits. I will harvest 6 units and contribute 3 units to keep a balance between personal gain and coalition support.",2025-07-03T16:47:33.030202,,,2
"[{'type': 'HARVEST', 'amount': 5}, {'type': 'CONTRIBUTE', 'amount': 3}]",,agent_008,,,,,agent_decision,,,,,"The main resource pool is quite limited at 10 units this turn. To maintain a sustainable approach, I will harvest only 5 units to avoid depleting the resource pool quickly. Since our coalition has a shared pool of 0.0 currently, contributing a portion of my harvested resources will help build the coalition pool, which will be distributed equally among the four members and maximize long-term benefits. Contributing 3 units strikes a balance between personal gain and coalition growth. Staying in coalition_beta is beneficial due to the stable membership and equal split policy.",2025-07-03T16:47:35.125215,,,2
,,agent_001,1.1904761904761905,,,,harvest,,,8.80952380952381,18.69047619047619,,2025-07-03T16:47:35.125286,,,2
,,agent_002,1.1904761904761905,,,,harvest,,,7.6190476190476195,13.69047619047619,,2025-07-03T16:47:35.125298,,,2
,,agent_003,1.1904761904761905,,,,harvest,,,6.428571428571429,18.69047619047619,,2025-07-03T16:47:35.125301,,,2
,,agent_004,1.1904761904761905,,,,harvest,,,5.238095238095238,13.69047619047619,,2025-07-03T16:47:35.125304,,,2
,,agent_005,1.4285714285714284,,,,harvest,,,3.8095238095238098,11.428571428571429,,2025-07-03T16:47:35.125314,,,2
,,agent_006,1.1904761904761905,,,,harvest,,,2.6190476190476195,11.19047619047619,,2025-07-03T16:47:35.125316,,,2
,,agent_007,1.4285714285714284,,,,harvest,,,1.1904761904761911,11.428571428571429,,2025-07-03T16:47:35.125319,,,2
,,agent_008,1.1904761904761905,,,,harvest,,,6.661338147750939e-16,11.19047619047619,,2025-07-03T16:47:35.125322,,,2
,,agent_001,2.5,,coalition_alpha,,contribute,,2.5,,16.19047619047619,,2025-07-03T16:47:35.125338,,,2
,,agent_002,3,,coalition_alpha,,contribute,,5.5,,10.69047619047619,,2025-07-03T16:47:35.125343,,,2
,,agent_003,5,,coalition_alpha,,contribute,,10.5,,13.69047619047619,,2025-07-03T16:47:35.125347,,,2
,,agent_004,3,,coalition_alpha,,contribute,,13.5,,10.69047619047619,,2025-07-03T16:47:35.125350,,,2
,,agent_005,3,,coalition_beta,,contribute,,3.0,,8.428571428571429,,2025-07-03T16:47:35.125354,,,2
,,agent_006,3,,coalition_beta,,contribute,,6.0,,8.19047619047619,,2025-07-03T16:47:35.125358,,,2
,,agent_007,3,,coalition_beta,,contribute,,9.0,,8.428571428571429,,2025-07-03T16:47:35.125361,,,2
,,agent_008,3,,coalition_beta,,contribute,,12.0,,8.19047619047619,,2025-07-03T16:47:35.125365,,,2
,,,,,coalition_alpha,"{'agent_001': 3.375, 'agent_002': 3.375, 'agent_003': 3.375, 'agent_004': 3.375}",coalition_distribution,,,,,,2025-07-03T16:47:35.125375,,13.5,2
,,,,,coalition_beta,"{'agent_005': 3.0, 'agent_006': 3.0, 'agent_007': 3.0, 'agent_008': 3.0}",coalition_distribution,,,,,,2025-07-03T16:47:35.125381,,12.0,2
,,,10,,,,replenishment,,,10.0,,,2025-07-03T16:47:35.125384,,,2
,,,,,,,turn_end,10.0,,,,,2025-07-03T16:47:35.125390,110.0,,2
,,,,,,,turn_start,10.0,,,,,2025-07-03T16:47:35.125477,,,3
"[{'type': 'HARVEST', 'amount': 4}, {'type': 'CONTRIBUTE', 'amount': 2}]",,agent_001,,,,,agent_decision,,,,,"The main resource pool is low at 10.0 units, so I must harvest conservatively to avoid depletion. Last two turns I harvested 5 units and contributed half of that (2.5) to the coalition pool for equal redistribution. This strategy maintains some resource sustainability and supports coalition sharing. Since the coalition pool is currently empty, contributing a portion of my harvest will help build it for future turns. I will harvest 4 units this turn to minimize resource depletion and contribute half (2 units) to the coalition pool to maintain cooperative benefit.",2025-07-03T16:47:37.036516,,,3
"[{'type': 'HARVEST', 'amount': 5}, {'type': 'CONTRIBUTE', 'amount': 3}]",,agent_002,,,,,agent_decision,,,,,"The main resource pool is limited (10 units), so sustainable harvesting is important for future turns. I have been harvesting 5 units and contributing 3 units each turn to our coalition's shared pool, which benefits all members equally. The shared pool is currently 0, so contributions last turn likely haven't yielded distributed resources yet. Continuing to harvest moderately and contribute maintains coalition strength and personal score growth. Leaving the coalition or joining another does not seem beneficial now as our coalition has four members and equal distribution, so I will continue with the current strategy.",2025-07-03T16:47:38.866394,,,3
"[{'type': 'HARVEST', 'amount': 3}, {'type': 'CONTRIBUTE', 'amount': 3}]",,agent_003,,,,,agent_decision,,,,,"The main resource pool is low at 10.0, so I need to harvest conservatively to maintain sustainability. My coalition currently has 4 members and an empty shared pool, so contributing some resources will help build the coalition's pool for future equal distribution. Given the limited resources, I will harvest moderately (3 units) and contribute 3 units to the coalition pool to balance personal gain and coalition benefit without depleting the main pool too fast.",2025-07-03T16:47:41.065156,,,3
"[{'type': 'HARVEST', 'amount': 3}, {'type': 'CONTRIBUTE', 'amount': 2}]",,agent_004,,,,,agent_decision,,,,,"The main resource pool is low at 10.0, so harvesting too much this turn risks depletion and reduces sustainability. I will harvest a moderate amount (3) to conserve resources for future turns. Contributing a portion (2) to the coalition pool supports shared growth and future equal distribution among 4 members, which benefits me long-term. Since the coalition's shared pool is 0 and my current coalition has stable membership and no immediate benefit to switching, I will remain in coalition_alpha.",2025-07-03T16:47:43.233763,,,3
"[{'type': 'HARVEST', 'amount': 4}, {'type': 'CONTRIBUTE', 'amount': 2}]",,agent_005,,,,,agent_decision,,,,,"The main resource pool is low at 10.0, so harvesting heavily risks depleting resources too fast. I will harvest a moderate amount to sustain personal score growth but avoid overexploitation. Since our coalition shared pool is 0, contributing some harvested resources will build the shared pool to be distributed equally among four members, increasing long-term benefits. Maintaining coalition membership is beneficial given the current stable coalition and equal split policy. I choose to harvest 4 units and contribute 2 units to balance personal gain and coalition growth while preserving resource sustainability.",2025-07-03T16:47:45.247411,,,3
"[{'type': 'HARVEST', 'amount': 4}, {'type': 'CONTRIBUTE', 'amount': 2}]",,agent_006,,,,,agent_decision,,,,,"The main resource pool is quite low at 10.0, so I need to be careful not to over-harvest and deplete it too quickly. My coalition currently has 4 members, and the shared pool is 0.0. Previously, I harvested 5 and contributed 3, which helps build the coalition pool for future equal distribution, benefiting all members including myself. To sustain the resource and maintain coalition benefits, I will harvest a moderate amount (4) to avoid depleting the pool too fast and contribute a smaller amount (2) to keep the coalition pool growing for shared benefits in upcoming turns.",2025-07-03T16:47:47.867553,,,3
"[{'type': 'HARVEST', 'amount': 6}, {'type': 'CONTRIBUTE', 'amount': 3}]",,agent_007,,,,,agent_decision,,,,,"The main resource pool is low at 10.0, so sustainable harvesting is crucial to maintain resource availability over remaining turns. Previously, I harvested 6 units and contributed half of that (3 units) to the coalition pool. The coalition pool currently has 0.0, so my contribution last turn went fully to the pool. Given the coalition has 4 members, equal sharing means any contribution benefits all members. Continuing to contribute half of my harvest promotes coalition strength and future shared gains. Harvesting 6 units again strikes a balance between resource intake and sustainability, given the low pool. I will continue contributing half of my harvest to support coalition growth and maximize long-term score through shared resources.",2025-07-03T16:47:50.536385,,,3
"[{'type': 'HARVEST', 'amount': 4}, {'type': 'CONTRIBUTE', 'amount': 3}]",,agent_008,,,,,agent_decision,,,,,"The main resource pool is dwindling, so harvesting too aggressively risks depleting it before the game ends. My coalition currently has no shared resources to distribute, so contributing more this turn will help build the shared pool, which can benefit all members equally. Given the sustainable approach, I will harvest a moderate amount to maintain personal score growth without overharvesting. Then I will contribute a significant portion to strengthen the coalition's pool for future equal distribution. Staying in coalition_beta is beneficial as it has consistent members and no current shared resources, so pooling resources now maximizes long-term gains.",2025-07-03T16:47:53.066856,,,3
,,agent_001,1.2121212121212122,,,,harvest,,,8.787878787878787,20.7775974025974,,2025-07-03T16:47:53.066946,,,3
,,agent_002,1.5151515151515151,,,,harvest,,,7.272727272727272,15.580627705627705,,2025-07-03T16:47:53.066955,,,3
,,agent_003,0.9090909090909092,,,,harvest,,,6.363636363636362,17.9745670995671,,2025-07-03T16:47:53.066959,,,3
,,agent_004,0.9090909090909092,,,,harvest,,,5.454545454545453,14.9745670995671,,2025-07-03T16:47:53.066961,,,3
,,agent_005,1.2121212121212122,,,,harvest,,,4.242424242424241,12.640692640692642,,2025-07-03T16:47:53.066966,,,3
,,agent_006,1.2121212121212122,,,,harvest,,,3.0303030303030294,12.402597402597403,,2025-07-03T16:47:53.066969,,,3
,,agent_007,1.8181818181818183,,,,harvest,,,1.212121212121211,13.246753246753247,,2025-07-03T16:47:53.066971,,,3
,,agent_008,1.2121212121212122,,,,harvest,,,-1.1102230246251565e-15,12.402597402597403,,2025-07-03T16:47:53.066974,,,3
,,agent_001,2,,coalition_alpha,,contribute,,2.0,,18.7775974025974,,2025-07-03T16:47:53.067030,,,3
,,agent_002,3,,coalition_alpha,,contribute,,5.0,,12.580627705627705,,2025-07-03T16:47:53.067038,,,3
,,agent_003,3,,coalition_alpha,,contribute,,8.0,,14.9745670995671,,2025-07-03T16:47:53.067040,,,3
,,agent_004,2,,coalition_alpha,,contribute,,10.0,,12.9745670995671,,2025-07-03T16:47:53.067044,,,3
,,agent_005,2,,coalition_beta,,contribute,,2.0,,10.640692640692642,,2025-07-03T16:47:53.067048,,,3
,,agent_006,2,,coalition_beta,,contribute,,4.0,,10.402597402597403,,2025-07-03T16:47:53.067051,,,3
,,agent_007,3,,coalition_beta,,contribute,,7.0,,10.246753246753247,,2025-07-03T16:47:53.067055,,,3
,,agent_008,3,,coalition_beta,,contribute,,10.0,,9.402597402597403,,2025-07-03T16:47:53.067058,,,3
,,,,,coalition_alpha,"{'agent_001': 2.5, 'agent_002': 2.5, 'agent_003': 2.5, 'agent_004': 2.5}",coalition_distribution,,,,,,2025-07-03T16:47:53.067091,,10.0,3
,,,,,coalition_beta,"{'agent_005': 2.5, 'agent_006': 2.5, 'agent_007': 2.5, 'agent_008': 2.5}",coalition_distribution,,,,,,2025-07-03T16:47:53.067097,,10.0,3
,,,10,,,,replenishment,,,9.999999999999998,,,2025-07-03T16:47:53.067103,,,3
,,,,,,,turn_end,9.999999999999998,,,,,2025-07-03T16:47:53.067146,120.00000000000001,,3
,,,,,,,turn_start,9.999999999999998,,,,,2025-07-03T16:47:53.067376,,,4
"[{'type': 'HARVEST', 'amount': 3}, {'type': 'CONTRIBUTE', 'amount': 1.5}]",,agent_001,,,,,agent_decision,,,,,"The main resource pool is nearly 10, indicating some regeneration or limited depletion. I have been harvesting moderately and contributing half of what I harvest, which supports coalition growth and shared benefits. The shared pool is currently 0, so contributions this turn will start accumulating resources for equal distribution among coalition members. Given sustainability, I will harvest 3 units this turn (slightly less to preserve resources) and contribute half (1.5) to support coalition benefits. I will remain in coalition_alpha to maximize shared pool benefits and maintain collaboration.",2025-07-03T16:47:55.349573,,,4
"[{'type': 'HARVEST', 'amount': 5}, {'type': 'CONTRIBUTE', 'amount': 3}]",,agent_002,,,,,agent_decision,,,,,"The main resource pool is still substantial but declining. Harvesting 5 units is sustainable and consistent with previous turns, ensuring a steady personal gain without depleting the resource too quickly. Contributing 3 units to the coalition pool maintains cooperation and supports equal distribution among coalition members, which benefits me in the long run. Staying in coalition_alpha is preferable since it has an active and balanced membership. Leaving or switching coalitions now would forfeit the current shared pool and disrupt future gains.",2025-07-03T16:47:57.313411,,,4
"[{'type': 'HARVEST', 'amount': 2}, {'type': 'CONTRIBUTE', 'amount': 2}]",,agent_003,,,,,agent_decision,,,,,"The main resource pool is still nearly 10 units, which allows moderate harvesting while maintaining sustainability. Staying in coalition_alpha is beneficial because it has 4 members, so contributions are shared among 4. Since the shared pool is currently 0, contributing some harvested resources this turn will help build the coalition's shared pool for future equal distribution. I will harvest 2 units to keep resource use sustainable and contribute all harvested resources to support the coalition's pool, maximizing shared benefits in upcoming turns.",2025-07-03T16:48:02.085799,,,4
"[{'type': 'HARVEST', 'amount': 2}, {'type': 'CONTRIBUTE', 'amount': 1}]",,agent_004,,,,,agent_decision,,,,,"The main resource pool is nearly 10 and has been steadily decreasing due to harvesting. To ensure sustainability, I will harvest a moderate amount, less than previous turns, to preserve the resource pool for future turns. Since contributing benefits all coalition members equally and our shared pool is currently empty, I will contribute a reasonable portion of my harvest to strengthen the coalition pool and increase shared benefits. Leaving my current coalition is not advantageous as it has a stable member count and equal distribution policy, and the other coalition also has zero shared pool, so no incentive to switch. Therefore, I will harvest 2 units and contribute 1 unit to the coalition pool.",2025-07-03T16:48:04.889182,,,4
"[{'type': 'HARVEST', 'amount': 4}, {'type': 'CONTRIBUTE', 'amount': 2}]",,agent_005,,,,,agent_decision,,,,,"The main pool remains stable at approximately 10 units, indicating sustainable harvesting so far. My coalition has 4 members but currently no shared resources, so contributing to the coalition pool early could help build it for future equal distributions. Harvesting 4 units again aligns with recent sustainable harvesting levels. Contributing half of the harvested resources (2 units) will support the coalition without jeopardizing my personal score. I will stay in my current coalition as it seems stable and beneficial.",2025-07-03T16:48:06.829845,,,4
"[{'type': 'HARVEST', 'amount': 3}, {'type': 'CONTRIBUTE', 'amount': 1}]",,agent_006,,,,,agent_decision,,,,,"The main resource pool is nearly 10, which is sufficient to harvest a moderate amount without risking depletion. Maintaining coalition_beta membership is beneficial as the shared pool is zero now, but contributions will build it for future equal distribution. To sustain resources, I will harvest 3 units, slightly less than previous turns, and contribute 1 unit to the coalition's pool. This balances personal gain with coalition support and resource sustainability for the remaining turns.",2025-07-03T16:48:09.591107,,,4
"[{'type': 'HARVEST', 'amount': 6}, {'type': 'CONTRIBUTE', 'amount': 3}]",,agent_007,,,,,agent_decision,,,,,"The main resource pool is currently just under 10 units, which is sufficient for moderate harvesting. To maintain sustainability, I will harvest a balanced amount that doesn't deplete the pool too quickly. Previously, I harvested 6 and contributed 3, which allowed some resource regeneration. I will continue this strategy to ensure the coalition pool grows while preserving the main pool. By contributing half of the harvested resources, I help increase the coalition's shared pool, which will be distributed equally among members, including myself. Since the coalition pool is currently zero, maintaining contributions is important for future benefits. There is no incentive to leave the current coalition or join another at this time, given the stable member count and pool status.",2025-07-03T16:48:12.357732,,,4
"[{'type': 'HARVEST', 'amount': 3}, {'type': 'CONTRIBUTE', 'amount': 2}]",,agent_008,,,,,agent_decision,,,,,"The main resource pool is almost 10 units, so there is still a good amount of resources available. To maximize my personal score sustainably, I will harvest a moderate amount to avoid depleting the pool too quickly. Contributing a portion of harvested resources to my coalition's shared pool ensures I benefit from collective distribution while incentivizing cooperation. Given the coalition has 4 members and the shared pool is currently zero, contributing resources now will increase future shared distributions. Maintaining membership in coalition_beta is beneficial as it has several members to share resources with. Therefore, I will harvest 3 units and contribute 2 units to the coalition.",2025-07-03T16:48:15.066309,,,4
,,agent_001,1.0714285714285712,,,,harvest,,,8.928571428571427,22.34902597402597,,2025-07-03T16:48:15.066365,,,4
,,agent_002,1.7857142857142856,,,,harvest,,,7.1428571428571415,16.86634199134199,,2025-07-03T16:48:15.066369,,,4
,,agent_003,0.7142857142857142,,,,harvest,,,6.428571428571427,18.188852813852815,,2025-07-03T16:48:15.066371,,,4
,,agent_004,0.7142857142857142,,,,harvest,,,5.714285714285713,16.188852813852815,,2025-07-03T16:48:15.066374,,,4
,,agent_005,1.4285714285714284,,,,harvest,,,4.285714285714285,14.56926406926407,,2025-07-03T16:48:15.066377,,,4
,,agent_006,1.0714285714285712,,,,harvest,,,3.2142857142857135,13.974025974025974,,2025-07-03T16:48:15.066379,,,4
,,agent_007,2.1428571428571423,,,,harvest,,,1.0714285714285712,14.88961038961039,,2025-07-03T16:48:15.066382,,,4
,,agent_008,1.0714285714285712,,,,harvest,,,0.0,12.974025974025974,,2025-07-03T16:48:15.066384,,,4
,,agent_001,1.5,,coalition_alpha,,contribute,,1.5,,20.84902597402597,,2025-07-03T16:48:15.066390,,,4
,,agent_002,3,,coalition_alpha,,contribute,,4.5,,13.86634199134199,,2025-07-03T16:48:15.066393,,,4
,,agent_003,2,,coalition_alpha,,contribute,,6.5,,16.188852813852815,,2025-07-03T16:48:15.066396,,,4
,,agent_004,1,,coalition_alpha,,contribute,,7.5,,15.188852813852815,,2025-07-03T16:48:15.066399,,,4
,,agent_005,2,,coalition_beta,,contribute,,2.0,,12.56926406926407,,2025-07-03T16:48:15.066404,,,4
,,agent_006,1,,coalition_beta,,contribute,,3.0,,12.974025974025974,,2025-07-03T16:48:15.066407,,,4
,,agent_007,3,,coalition_beta,,contribute,,6.0,,11.88961038961039,,2025-07-03T16:48:15.066411,,,4
,,agent_008,2,,coalition_beta,,contribute,,8.0,,10.974025974025974,,2025-07-03T16:48:15.066414,,,4
,,,,,coalition_alpha,"{'agent_001': 1.875, 'agent_002': 1.875, 'agent_003': 1.875, 'agent_004': 1.875}",coalition_distribution,,,,,,2025-07-03T16:48:15.066423,,7.5,4
,,,,,coalition_beta,"{'agent_005': 2.0, 'agent_006': 2.0, 'agent_007': 2.0, 'agent_008': 2.0}",coalition_distribution,,,,,,2025-07-03T16:48:15.066428,,8.0,4
,,,10,,,,replenishment,,,10.0,,,2025-07-03T16:48:15.066432,,,4
,,,,,,,turn_end,10.0,,,,,2025-07-03T16:48:15.066437,130.0,,4
,,,,,,,turn_start,10.0,,,,,2025-07-03T16:48:15.066541,,,5
